regular_medication_name
前列回春胶囊
龟鹿补肾丸
康复新液
盐酸乙胺丁醇片
利福喷丁胶囊
氯霉素片
氯霉素片
氯霉素片
复方丹参片
醋酸奥曲肽注射液
复方泛影葡胺注射液
诺氟沙星胶囊
琥乙红霉素胶囊
清火栀麦胶囊
开喉剑喷雾剂
转移因子口服溶液
盐酸小檗胺片
伊曲康唑胶囊
氟康唑片
伊曲康唑胶囊
注射用鼠神经生长因子
多烯磷脂酰胆碱注射液
氯霉素片
四环素片
雷公藤多苷片
雷公藤多苷片
醋酸泼尼松片
羚羊角口服液
牛磺酸颗粒
诺氟沙星胶囊
注射用克林霉素磷酸酯
克拉霉素片
复方蒲芩胶囊
乌苯美司胶囊
复方环磷酰胺片
注射用盐酸平阳霉素
迈之灵片
迈之灵片
迈之灵片
醋酸曲安奈德益康唑乳膏
克霉唑阴道泡腾片
氯碘羟喹乳膏
黄体酮注射液
黄体酮注射液
卵泡刺激素(FSH)测定试剂盒(胶体金法)
注射用鼠神经生长因子
多烯磷脂酰胆碱注射液
云南蛇药
注射用鼠神经生长因子
注射用鼠神经生长因子
甲苯咪唑片
阿苯达唑颗粒
盐酸左旋咪唑糖浆
亚甲蓝注射液
盐酸左氧氟沙星片
盐酸环丙沙星片
普卢利沙星胶囊
氯霉素片
氯霉素胶囊
注射用青霉素钠
注射用头孢噻肟钠
A群C群脑膜炎球菌多糖结合疫苗
抑亢丸
甲亢灵胶囊
醋酸环丙孕酮片
注射用鼠神经生长因子
注射用鼠神经生长因子
麦迪霉素片
青霉素V钾片
两性霉素B
壮阳春胶囊
云芝糖肽胶囊
仙鹿口服液
妇炎净胶囊
痛经宝颗粒
复方醋酸棉酚片
地屈孕酮片
天紫红女金胶囊
麒麟丸
龟鹿补肾丸
补肾斑龙片
震动式避孕套
头孢氨苄
头孢氨苄
米索前列醇片
产复康颗粒
人绒毛膜促性腺激素（HCG）双值检测试纸（胶体金法）
泛昔洛韦片
重组人干扰素α-2b凝胶
疣迪搽剂
注射用鼠神经生长因子
多烯磷脂酰胆碱注射液
盐酸丙哌维林片
保妇康栓
舒安卫生栓
硝呋太尔制霉素阴道软胶囊
高锰酸钾
硼酸洗液
磷霉素氨丁三醇散
齐多夫定注射液
更昔洛韦注射液
更昔洛韦胶囊
注射用鼠神经生长因子
注射用鼠神经生长因子
地塞米松磷酸钠注射液
盐酸利多卡因注射液
硝酸毛果芸香碱注射液
他达拉非片
前列回春胶囊
金水宝胶囊
肾上腺色腙片
消炎利胆片
注射用单唾液酸四己糖神经节苷脂钠
枸橼酸西地那非片
枸橼酸西地那非片
金水宝胶囊
布美他尼片
二巯基丙磺酸钠
伤科接骨片
云南白药胶囊
碳酸氢钠
葡萄糖
甲磺酸双氢麦角毒碱片
甲氨蝶呤片
氨苄西林胶囊
伊曲康唑胶囊
盐酸异丙肾上腺素注射液
十全大补丸(水丸)
氯化钠注射液
氯化钠注射液
氯化钠注射液
氯化钠注射液
硫唑嘌呤片
硫唑嘌呤片
叶酸片
连翘败毒丸
枯草杆菌二联活菌颗粒
小儿化痰止咳颗粒
阿莫西林双氯西林钠胶囊
盐酸利多卡因注射液
马洛替酯片
吡喹酮片
天麻素胶囊
六经头痛片
奥硝唑片
奥硝唑片(薄膜衣片)
奥硝唑分散片
马洛替酯片
马洛替酯缓释片
吡喹酮片
肠炎宁片
转移因子口服溶液
盐酸替扎尼定片
氟米龙滴眼液
双氯芬酸钠滴眼液
复方五指柑片
秘诀清凉散
吡喹酮片
苯妥英钠片
吡喹酮片
四环素片
氯霉素胶囊
盐酸美他环素片
诺氟沙星胶囊
注射用克林霉素磷酸酯
十一酸睾酮胶丸
十一酸睾酮胶丸
十一酸睾酮胶丸
大温中丸
六味丁香片
散痛舒片
散痛舒胶囊
散痛舒片
抗骨增生片
骨刺消痛胶囊
注射用重组人白介素-2
注射用重组人白介素-2
注射用A群链球菌
跳骨片
跳骨片
利福平片
利福平片
兰索拉唑肠溶片
利咽灵片
小儿双磺甲氧苄啶颗粒
小儿复方磺胺甲噁唑片
牛痘疫苗致炎兔皮提取物注射液
风湿关节酒
盐酸左氧氟沙星胶囊
阿莫西林胶囊
诺氟沙星胶囊
氯霉素胶囊
硝酸甘油片
硝酸甘油片
注射用硝普钠
九龙化风丸
九龙化风丸
鞣酸苦参碱胶囊
小儿腹泻贴
醋氯芬酸片
奥沙普秦分散片
奥沙普秦肠溶片
伊曲康唑胶囊
骨痛药酒
骨痛灵酊
