name
全身
卵巢
肾上腺
气管
骨髓
阴茎
尿道
周围神经系统
阴道
外阴
眼
腹膜
臀部
盆骨
肋骨
上肢骨
鼻
肌肉
前列腺
面部
骨
肺
关节
肝
子宫
盆腔
足部
头部
女性生殖
肾
脊髓
肠
乳房
脊柱
甲状腺
膈肌
血液血管
睾丸
颈部
阴囊
会阴部
胆
大腿
前臂
皮肤
免疫系统
肛门
胸部
腰部
下肢
输尿管
心脏
小腿
口
耳
输卵管
肩部
腹部
上肢
手部
肘部
颅脑
脾
上臂
胰腺
食管
阑尾
颅骨
淋巴
人体部位
男性生殖
胃
下肢骨
膀胱
咽喉
心理
输精管
纵膈
肠系膜
膝部
其他骨
